ID,UNITID,OPEID,OPEID6,INSTNM
c,104179,108300,1083,University of Arizona
c,110644,131300,1313,University of California - Davis
c,134130,153500,1535,University of Florida
c,139959,159800,1598,University of Georgia
c,151351,180900,1809,Indiana University - Bloomington
c,153603,186900,1869,Iowa State University
c,153658,189200,1892,University of Iowa
c,157085,198900,1989,University of Kentucky
c,163286,210300,2103,University of Maryland - College Park
c,171100,229000,2290,Michigan State University
c,178396,251600,2516,University of Missouri
c,196097,283800,2838,Stony Brook University
c,199193,297200,2972,North Carolina State University at Raleigh
c,204796,309000,3090,Ohio State University - Main Campus
c,233921,375400,3754,Virginia Polytechnic Institute and State University
c,243780,182500,1825,Purdue University - Main Campus
